Year,Country,Tile,Patch,Unique Labels
2019,Catalonia,31TBF,2019_31TBF_patch_22_20.nc,[170]
2019,Catalonia,31TBF,2019_31TBF_patch_23_24.nc,"[170, 150]"
2019,Catalonia,31TBF,2019_31TBF_patch_29_16.nc,[170]
2019,Catalonia,31TBF,2019_31TBF_patch_23_01.nc,"[330, 150]"
2019,Catalonia,31TBF,2019_31TBF_patch_22_18.nc,"[170, 510]"
2019,Catalonia,31TBF,2019_31TBF_patch_28_23.nc,"[120, 170, 150, 510]"
2019,Catalonia,31TBF,2019_31TBF_patch_23_07.nc,[150]
2019,Catalonia,31TBF,2019_31TBF_patch_27_17.nc,[170]
2019,Catalonia,31TBF,2019_31TBF_patch_26_11.nc,"[170, 330, 150]"
2019,Catalonia,31TBF,2019_31TBF_patch_24_29.nc,"[170, 510]"
2019,Catalonia,31TBF,2019_31TBF_patch_20_10.nc,[330]
2019,Catalonia,31TBF,2019_31TBF_patch_25_16.nc,[330]
2019,Catalonia,31TBF,2019_31TBF_patch_20_17.nc,"[770, 170, 330, 110, 150, 510]"
2019,Catalonia,31TBF,2019_31TBF_patch_26_15.nc,"[170, 330, 150]"
2019,Catalonia,31TBF,2019_31TBF_patch_18_11.nc,[330]
2019,Catalonia,31TBF,2019_31TBF_patch_22_04.nc,"[170, 150]"
2019,Catalonia,31TBF,2019_31TBF_patch_21_23.nc,"[770, 170, 110, 150, 510]"
2019,Catalonia,31TBF,2019_31TBF_patch_23_03.nc,"[170, 770, 150, 438]"
2019,Catalonia,31TBF,2019_31TBF_patch_29_09.nc,[330]
2019,Catalonia,31TBF,2019_31TBF_patch_23_23.nc,"[170, 150]"
2019,Catalonia,31TCF,2019_31TCF_patch_17_01.nc,"[770, 170, 110, 150, 510]"
2019,Catalonia,31TCF,2019_31TCF_patch_11_08.nc,"[330, 150, 510]"
2019,Catalonia,31TCF,2019_31TCF_patch_07_00.nc,"[170, 770, 330, 150]"
