Year,Country,Tile,Patch,Unique Labels
2019,Catalonia,31TBF,2019_31TBF_patch_25_25.nc,"[770, 170, 330, 150, 510]"
2019,Catalonia,31TBF,2019_31TBF_patch_28_16.nc,[330]
2019,Catalonia,31TBF,2019_31TBF_patch_26_02.nc,"[170, 150]"
2019,Catalonia,31TBF,2019_31TBF_patch_22_10.nc,[330]
2019,Catalonia,31TBF,2019_31TBF_patch_26_16.nc,[170]
2019,Catalonia,31TBF,2019_31TBF_patch_20_17.nc,"[770, 170, 330, 110, 150, 510]"
2019,Catalonia,31TBF,2019_31TBF_patch_27_19.nc,"[170, 150]"
2019,Catalonia,31TBF,2019_31TBF_patch_29_10.nc,"[330, 510]"
2019,Catalonia,31TCF,2019_31TCF_patch_22_00.nc,"[170, 435, 330, 150]"
2019,Catalonia,31TCF,2019_31TCF_patch_05_04.nc,[330]
2019,Catalonia,31TCF,2019_31TCF_patch_01_25.nc,[150]
2019,Catalonia,31TCF,2019_31TCF_patch_21_02.nc,"[770, 170, 330, 140, 150, 510]"
2019,Catalonia,31TCF,2019_31TCF_patch_10_13.nc,"[170, 330, 150, 510]"
2019,Catalonia,31TCF,2019_31TCF_patch_01_05.nc,"[170, 150, 510]"
2019,Catalonia,31TCF,2019_31TCF_patch_13_09.nc,"[770, 170, 330, 435, 150, 510]"
2019,Catalonia,31TCF,2019_31TCF_patch_10_02.nc,"[770, 170, 330, 150, 510]"
2019,Catalonia,31TCF,2019_31TCF_patch_06_05.nc,"[330, 435, 150]"
2019,Catalonia,31TCF,2019_31TCF_patch_06_03.nc,"[170, 150]"
2019,Catalonia,31TCF,2019_31TCF_patch_09_03.nc,"[770, 170, 330, 435, 150]"
2019,Catalonia,31TCF,2019_31TCF_patch_03_18.nc,"[330, 510]"
2019,Catalonia,31TCF,2019_31TCF_patch_26_07.nc,"[330, 510]"
2019,Catalonia,31TCF,2019_31TCF_patch_03_01.nc,"[170, 150]"
2019,Catalonia,31TCF,2019_31TCF_patch_15_10.nc,"[770, 170, 330, 150, 510]"
2019,Catalonia,31TCF,2019_31TCF_patch_21_10.nc,"[170, 770, 330, 150]"
2019,Catalonia,31TCG,2019_31TCG_patch_25_02.nc,"[170, 330, 140, 150, 510]"
2019,Catalonia,31TCG,2019_31TCG_patch_08_04.nc,[170]
2019,Catalonia,31TCG,2019_31TCG_patch_04_10.nc,"[170, 150]"
2019,Catalonia,31TCG,2019_31TCG_patch_00_16.nc,"[170, 150]"
2019,Catalonia,31TCG,2019_31TCG_patch_29_07.nc,[330]
2019,Catalonia,31TCG,2019_31TCG_patch_18_02.nc,"[160, 170, 140, 120, 510]"
2019,Catalonia,31TCG,2019_31TCG_patch_25_12.nc,"[170, 435, 150]"
2019,Catalonia,31TCG,2019_31TCG_patch_19_01.nc,[160]
2019,Catalonia,31TCG,2019_31TCG_patch_10_27.nc,"[770, 170, 330, 110, 150]"
2019,Catalonia,31TCG,2019_31TCG_patch_23_10.nc,[510]
2019,Catalonia,31TCG,2019_31TCG_patch_22_28.nc,"[770, 170, 330, 435, 150]"
2019,Catalonia,31TCG,2019_31TCG_patch_10_07.nc,[170]
2019,Catalonia,31TCG,2019_31TCG_patch_13_04.nc,[160]
2019,Catalonia,31TCG,2019_31TCG_patch_24_19.nc,"[170, 150]"
2019,Catalonia,31TCG,2019_31TCG_patch_10_22.nc,"[170, 770, 120, 150]"
2019,Catalonia,31TCG,2019_31TCG_patch_07_20.nc,"[770, 170, 140, 150, 120]"
2019,Catalonia,31TCG,2019_31TCG_patch_25_06.nc,[510]
2019,Catalonia,31TCG,2019_31TCG_patch_17_10.nc,"[170, 330, 150]"
2019,Catalonia,31TCG,2019_31TCG_patch_15_16.nc,"[160, 770, 170, 330, 435, 150, 120, 510]"
2019,Catalonia,31TCG,2019_31TCG_patch_05_00.nc,[510]
2019,Catalonia,31TCG,2019_31TCG_patch_18_26.nc,"[770, 170, 110, 435, 150, 510]"
2019,Catalonia,31TCG,2019_31TCG_patch_16_20.nc,"[170, 770, 435, 150]"
2019,Catalonia,31TCG,2019_31TCG_patch_16_03.nc,"[170, 510]"
2019,Catalonia,31TCG,2019_31TCG_patch_07_15.nc,[150]
2019,Catalonia,31TCG,2019_31TCG_patch_03_13.nc,"[170, 330, 150]"
2019,Catalonia,31TCG,2019_31TCG_patch_15_02.nc,"[770, 510]"
2019,Catalonia,31TDF,2019_31TDF_patch_09_01.nc,"[330, 510]"
2019,Catalonia,31TDG,2019_31TDG_patch_04_28.nc,"[770, 170, 330, 140, 150, 510]"
2019,Catalonia,31TDG,2019_31TDG_patch_13_12.nc,"[170, 150, 510]"
2019,Catalonia,31TDG,2019_31TDG_patch_17_26.nc,"[770, 330]"
2019,Catalonia,31TDG,2019_31TDG_patch_10_22.nc,"[170, 510]"
2019,Catalonia,31TDG,2019_31TDG_patch_12_13.nc,"[770, 170, 140, 435, 150, 120, 510]"
2019,Catalonia,31TDG,2019_31TDG_patch_06_11.nc,"[770, 170, 330, 150, 510]"
2019,Catalonia,31TDG,2019_31TDG_patch_11_25.nc,"[170, 150]"
2019,Catalonia,31TDG,2019_31TDG_patch_07_28.nc,"[170, 150]"
2019,Catalonia,31TDG,2019_31TDG_patch_29_08.nc,"[770, 170, 150, 438, 120]"
2019,Catalonia,31TDG,2019_31TDG_patch_26_11.nc,"[770, 170, 330, 140, 435, 150, 438, 120, 510]"
